Aachen	ɑː k eː n
råd	/ e n . w i k t i o n a r y . o r g
rådjur	ˈr oː ˌj ʉː r
råg	r oː ɡ
råg	/ e n . w i k t i o n a r y . o r g
råg	/ e n . w i k t i o n a r y . o r g
rån	r oː n
rån	/ e n . w i k t i o n a r y . o r g
råtta	ˈr ɔ ˌt a
röd	r øː d
röd	r øː
röd	/ e n . w i k t i o n a r y . o r g
röd	/ e n . w i k t i o n a r y . o r g
rödbena	ˌr øː d ˈb eː n a
rödfalk	r øː d ˈf a l k
rödfalk	/ e n . w i k t i o n a r y . o r g
rödlök	ˈr øː d ˌl øː k
rödspov	ˌr øː d ˈs p uː v
rödspov	/ e n . w i k t i o n a r y . o r g
rödvarg	² r øː d ˌv a r j
rök	r øː k
rökfritt	² r øː k ˌf r ɪ t
rökning	² r øː k n ɪ ŋ
rölleka	ˈr œ l ɛ k a
rölleka	ˈr œ l ˌɛ k a
rörhöna	ˌɾ øː ɾ ˈh øː n a
rörhöna	/ e n . w i k t i o n a r y . o r g
rörlig	² r œ ɭ ɪ ɡ
rörsångare	r øː r ˈs ɔ ŋ a r ɛ
rösa	² r øː s a
rösa	/ e n . w i k t i o n a r y . o r g
rösa	/ e n . w i k t i o n a r y . o r g
röst	r œ s t
röv	/ e n . w i k t i o n a r y . o r g
röv	/ e n . w i k t i o n a r y . o r g
rövslickare	² r øː v ˌs l ɪ k a r ɛ
sa	ˈs ɑː
sa	s a
sa	s a
sa	s̪ a
sa	s̪ a
sa	s̪ a
sa	s̪ a
sa	s̪ a
sa	s a
sa	θ a ˨˦
sa	θ a ˨˦
sa	s a ˧
sa	s a ˧˥
sa	s a ˧˩
sabla	ˈs ɑː b ˌl a
sabotage	s a b ʊ ˈt ɑː ɧ
sade	ˈs ɑː d ɛ
saft	s a f t
sagt	s a k t
sak	s ɑː k
sak	s ɑː k
sak	s äː k
sak	s æː k
sak	s eː k
sak	/ e n . w i k t i o n a r y . o r g
sakna	s ɑː k n a
saldo	ˈs a l ˌd ʊ
salt	s a l t
salt	s a ɫ t
sam	s a m
sam	θ aː m ˨˦
sam	θ aː m ˨˦
sam	θ aː m ˨˦
sam	θ aː m ˨˦
sambo	ˈs a m b ʊ
sambo	² s a m ˌb uː
sambo	ˈs a m b ʊ
sambo	/ e n . w i k t i o n a r y . o r g
sambo	² s a m ˌb uː
sambo	ˈs a m b ʊ
sambo	/ e n . w i k t i o n a r y . o r g
sambo	ˈs a m b ʊ
sambo	/ e n . w i k t i o n a r y . o r g
samhälle	/ e n . w i k t i o n a r y . o r g
samling	² s a m l ɪ ŋ
sammanhänga	² s a m a n h ɛ ŋ a
samt	s a m t
samtal	ˈs a m ˌt ɑː l
sandig	² s a n d ɪ ɡ
sandlöpare	ˌs a n d ˈl øː p a r e
sandlöpare	/ e n . w i k t i o n a r y . o r g
sandsnäppa	ˌs a n dː ˈs n ɛ p a
sandsnäppa	/ e n . w i k t i o n a r y . o r g
sandtärna	ˌs a n d ˈt ɜ r n a
sandvita	s a n d ˈv iː t a
sareptasenap	ˌs a r ɛ p t a ˈs eː n a p
satan	ˈs ɑː ˌt a n
Saturnus	s a ˈt ɵ r n ɵ s
Saturnus	s a ˈt ø r n ə s
schack	ɧ a k
schampo	ˈɧ a m p ʊ
schasa	² ɧ ɑː s a
schasa	/ e n . w i k t i o n a r y . o r g
schejk	ɧ ɛ j k
schejk	/ e n . w i k t i o n a r y . o r g
schema	ˈɧ eː m a
schlager	ˈɧ l ɑː ɡ e r
Schweiz	ʂ v ɛ jː t s
se	s eː
se	s ɛ
se	s ɛ
se	s ɛ
se	s ɛ
se	s ɛ
se	s è
se	s è
se	s é
se	/ e n . w i k t i o n a r y . o r g
sedan	s eː d a n
sedan	s ɛ n
sedan	s ɛ n
sedel	s eː d ɛ l
seeda	s iː d a
seg	s eː ɡ
seg	/ e n . w i k t i o n a r y . o r g
seg	/ e n . w i k t i o n a r y . o r g
seg	/ e n . w i k t i o n a r y . o r g
seg	/ e n . w i k t i o n a r y . o r g
seg	/ e n . w i k t i o n a r y . o r g
seg	/ e n . w i k t i o n a r y . o r g
seg	/ e n . w i k t i o n a r y . o r g
seg	/ e n . w i k t i o n a r y . o r g
seg	/ e n . w i k t i o n a r y . o r g
seg	/ e n . w i k t i o n a r y . o r g
seg	/ e n . w i k t i o n a r y . o r g
seg	/ e n . w i k t i o n a r y . o r g
seg	/ e n . w i k t i o n a r y . o r g
seg	/ e n . w i k t i o n a r y . o r g
seg	/ e n . w i k t i o n a r y . o r g
seger	ˈs eː ɡ ɛ r
segling	² s eː ɡ l ɪ ŋ
sejour	s ɛ ˈɧ uː r
selen	s ɛ ˈl eː n
selen	/ e n . w i k t i o n a r y . o r g
selen	/ e n . w i k t i o n a r y . o r g
selen	/ e n . w i k t i o n a r y . o r g
semester	s ɛ ˈm ɛ s t ɛ r
semestrar	s ɛ ˈm ɛ s t r a r
semla	² s ɛ m l a
semla	² s e m l a
semla	ˈs e m l ɑ
semla	/ e n . w i k t i o n a r y . o r g
sen	s eː n
sen	s ɛ n
sen	s e n
sen	s ɪː n
sen	s ɪː n
sen	s ɪː n
sen	s ɪː n
sen	s ɪː n
sen	s ɪː n
sen	s ɪː ɳ
sen	/ e n . w i k t i o n a r y . o r g
sen	s ɛ n
sen	s e n
sen	s ɪː n
sen	s ɪː n
sen	s ɪː n
sen	s ɪː n
sen	s ɪː n
sen	s ɪː n
sen	s ɪː ɳ
sen	/ e n . w i k t i o n a r y . o r g
senapsgul	ˌs eː n a p s ˈɡ ʉː l
senapssill	² s eː n a p s ˌs ɪ l
sent	s eː n t
separation	s e p a r a ɧ uː n
september	ˈs ɛ p ˈt ɛ m b ɛ r
serve	ˈs ɵ r v
set	s ɛ tː
set	s ɛ t
set	/ e n . w i k t i o n a r y . o r g
set	/ e n . w i k t i o n a r y . o r g
seta	ˈs ɛː t a
sett	s ɛ tː
Sevilla	s ɛ ˈv iː a
Sevilla	s e ˈv i l l a
sex	s ɛ k s
sextio	² s ɛ k s t ɪ . ʊ
sextio	² s ɛ k s t ɪ
sexton	ˈs ɛ k s ˌt ɔ n
sexualitet	s ɛ k s ɵ a l ɪ ˈt eː t
sexualitet	/ e n . w i k t i o n a r y . o r g
sexualkunskap	s ɛ k s ɵ ˈɑː l k ɵ n ˌs k ɑː p
Shetlandsöarna	ˈɧ ɛ t l a n d s ˌøː a ɳ a
shobresvenska	² ɕ uː b r ɛ ˌs v ɛ n s k a
shopping	¹ ɧ ɔ p ɪ ŋ
shorts	ɧ oː ʈ ʂ
shorts	ʃ oː ʈ ʂ
show	ɧ ɔ͡ʊ
show	ɧ ɔ v
show	ɧ ɔ v
show	ɧ ɔ v
show	ɧ oː
show	ɧ oː
show	ɧ oː
show	ɧ ɔ v
show	ɧ oː
show	ɧ oː
show	ɧ oː
show	ɧ oː
sida	² s iː d a
sig	s ɛ j
sig	s a j
sig	/ e n . w i k t i o n a r y . o r g
sig	/ e n . w i k t i o n a r y . o r g
sig	/ e n . w i k t i o n a r y . o r g
sig	s a j
sig	/ e n . w i k t i o n a r y . o r g
sig	/ e n . w i k t i o n a r y . o r g
sig	/ e n . w i k t i o n a r y . o r g
sikt	s ɪ k t
sikt	/ e n . w i k t i o n a r y . o r g
silkeshäger	s ɪ l k ɛ s ˈh ɛ ɡ ɛ r
sill	s ɪ l
sillgrissla	ˌs ɪ l ˈɡ r ɪ s l a
silltrut	ˌs ɪ l ˈt r ʉː t
silver	ˈs ɪ l v ɛ r
silvertärna	ˌs ɪ l v ɛ r ˈt ɜ r n a
simma	² s ɪ m a
simma	/ e n . w i k t i o n a r y . o r g
sin	s iː n
sin	s ɪ n
sin	s ɪ n
sin	s ɪ n
sin	s ɪ n
sinfonietta	s ɪ n f ɔ n ɪ ² ɛ t a
sinnes	² s ɪ n ɛ s
sitar	s ɪ ˈt ɑː r
sitt	s ɪ tː
sitta	² s ɪ t a
sitta	/ e n . w i k t i o n a r y . o r g
situation	s ɪ t v a ˈɧ uː n
situation	s ɪ t ɵ a ˈɧ uː n
sjal	ɧ ɑː l
sjok	ɧ uː k
sju	ɧ ʉː
sju	/ e n . w i k t i o n a r y . o r g
sjucker	ˈɧ ɵ k ɛ r
sjucker	/ e n . w i k t i o n a r y . o r g
sjuda	ɧ ʉː d a
sjuda	/ e n . w i k t i o n a r y . o r g
sjuk	ˈɧ ʉː k
sjuk	/ e n . w i k t i o n a r y . o r g
sjuka	² ɧ ʉː k a
sjukdom	² ɧ ʉː k ˌd ʊ m
sjukhus	² ɧ ʉː k h ʉː s
sjukna	² ɧ ʉː k n a
sjuksköterska	² ɧ ʉː k ˌɧ øː t ɛ r s k a
sjukt	ɧ ʉː k t
sjunde	ˈɧ ɵ n ˌd ɛ
sjunga	² ɧ ɵ ŋ a
sjunga	/ e n . w i k t i o n a r y . o r g
sjunga	/ e n . w i k t i o n a r y . o r g
sjunka	ˈɧ ɵ ŋː ˌk a
sjuttio	² ɧ ɵ t ɪ ˌʊ
sjuttio	² ɧ ɵ t ɪ
sjutton	ˈɧ ɵ ˌt ɔ n
själ	ɧ ɛː l
själv	ɧ ɛ l v
självklar	² ɧ ɛ l v ˌk l ɑː r
självklarhet	² ɧ ɛ l v k l ɑː r ˌh eː t
sjätte	ˈɧ ɛ ˌt ɛ
sjö	ɧ øː
sjö	/ e n . w i k t i o n a r y . o r g
sjö	/ e n . w i k t i o n a r y . o r g
sjökalv	² ɧ øː ˌk a l v
Sjökvist	² ɧ øː ˌk v ɪ s t
sjöman	ˈɧ øː ˌm a n
sjön	ɧ œ n
sjöorre	ˌɧ øː ˈɔ ɾ ɛ
sjöorre	/ e n . w i k t i o n a r y . o r g
Sjöquist	² ɧ øː ˌk v ɪ s t
Sjöqvist	² ɧ øː ˌk v ɪ s t
ska	ˈs k ɑː
ska	s k ɑː
ska	ˈs k aː
ska	s k ɑː
ska	ˈs k aː
ska	ˈs k aː
skabb	ˈs k a b
skaffel	ˈɧ a fː ɛ l
skakis	¹ s k ɑː k ɪ s
skakning	s k ɑː k ˈn ɪ ŋ
skall	s k a l
skam	s k a m
skandium	ˈs k a n d ɪ ɵ m
skapa	s k ɑː p a
skapelse	s k ɑː p ɛ l s ɛ
skatgök	ˌs k ɑː t ˈj øː k
skatgök	/ e n . w i k t i o n a r y . o r g
ske	ɧ eː
ske	/ e n . w i k t i o n a r y . o r g
sked	ɧ eː d
sked	/ e n . w i k t i o n a r y . o r g
skedand	ˌɧ eː d ˈa n d
skedand	/ e n . w i k t i o n a r y . o r g
skedstork	ɧ eː d ˈs t ɔ r k
sken	ˈɧ eː n
skepp	ɧ ɛ p
skepparkrans	ˈɧ ɛ pː a r ˌk r a n s
skeptisk	¹ s k ɛ p t ɪ s k
skeptisk	¹ ɧ ɛ p t ɪ s k
skeptisk	¹ ɧ ɛ p t ɪ s k
sket	ɧ eː t
skev	ɧ eː v
skicka	ˈɧ ɪ k ˌa
skiffer	ˌɧ ɪ f ɛ r
skiffermes	ɧ ɪ f ɛ ɾ ˈm eː s
skiffermes	/ e n . w i k t i o n a r y . o r g
skiffertrut	ˌɧ ɪ f ɛ r ˈt r ʉː t
skildring	² ɧ ɪ l d r ɪ ŋ
skilja	² ɧ ɪ l j a
skilling	ˈɧ ɪ l ˌɪ ŋ
skillnad	ˈɧ ɪ l ˌn a d
skina	ˈɧ iː ˌn a
skinn	ɧ ɪ nː
skit	ˈɧ iː t
skiva	² ɧ iː ˌv a
skjorta	ˈɧ ʊ ˌr t a
skjorta	/ e n . w i k t i o n a r y . o r g
skjul	ɧ ʉː l
skjul	/ e n . w i k t i o n a r y . o r g
skjul	/ e n . w i k t i o n a r y . o r g
skjuta	² ɧ ʉː t a
skjuta	/ e n . w i k t i o n a r y . o r g
skjutglad	ˈɧ ʉ̟ː t ˌɡ l ɑː d
skjutsa	ˈɧ ɵ ˌsː a
sko	s k uː
sko	/ e n . w i k t i o n a r y . o r g
skock	ˈs k ɔ k
skog	/ e n . w i k t i o n a r y . o r g
skogsduva	ˌs k ʊ ɡ͡s ˈd ʉː v a
skogsduva	/ e n . w i k t i o n a r y . o r g
skogssnäppa	ˌs k ʊ ɡ s ˈs n ɛ p a
skogsstjärna	s k ʊ k s ˌɧ ɛː r n a
skola	² s k uː l a
skola	/ e n . w i k t i o n a r y . o r g
skolbespisning	² s k uː l b ɛ ˌs p iː s n ɪ ŋ
skolka	ˈs k ɔ l ˌk a
skolmat	² s k uː l ˌm ɑː t
skolmatsal	² s k uː l m ɑː t ˌs ɑː l
skorsten	² s k ɔ ʂ t eː n
skorstensseglare	s k ɔ ˌʂ t eː n ˈs eː ɡ l a ɾ ɛ
skorstensseglare	/ e n . w i k t i o n a r y . o r g
skoskav	² s k uː ˌs k ɑː v
skotskt	s k ɔ t s k t
Skottland	ˈs k ɔ t l a n d
skraj	ˈs k r a j
skribent	s k r ɪ ˈb ɛ n t
skridsko	¹ s k r ɪ s k ʊ
skrik	s k r iː k
skrik	s k r ɪ k
skrik	s k r ɪ k
skrikstrandpipare	ˌs k r iː k s t r a n d ˈp iː p a r ɛ
skrikstrandpipare	/ e n . w i k t i o n a r y . o r g
skrikörn	s k r iː k ˈøː r n
skrin	s k r iː n
skrin	/ e n . w i k t i o n a r y . o r g
skrin	/ e n . w i k t i o n a r y . o r g
skriva	² s k r iː v a
skrivmaskin	² s k r iː v m a ˌɧ iː n
skrivning	ˈs k r iː v ˈn ɪ ŋ
skrota	ˈs k r uː ˌt a
skruv	s k r ʉː v
skruv	/ e n . w i k t i o n a r y . o r g
skrämma	² s k r ɛ m a
skräntärna	ˌs k r ɛ n ˈt ɜ r n a
skula	² s k ʉː l a
skula	/ e n . w i k t i o n a r y . o r g
skull	s k ɵ lː
skulle	ˈs k ɵ ˌlː ə
skulle	/ e n . w i k t i o n a r y . o r g
skumvin	ˈs k ʉ m v iː n
skur	s k ʉː r
skur	/ e n . w i k t i o n a r y . o r g
skvader	ˈs k v ɑː d ɛ r
sky	ɧ yː
skydd	ɧ ʏ d
skyddshjälm	ˌɧ ʏ d s ˈj ɛ l m
skyddsväg	ˈɕ y d s v eː ɡ
skyfall	² ɧ ỳː f a l
skygg	ɧ ʏ ɡ
skyhög	ˈɧ ỳː ˌh øː ɡ
skylt	ɧ ʏ l t
skymma	ˈɧ ʏ m ˌa
skymning	ˈɧ ʏ m ˌn ɪ ŋ
skytt	ˈɧ ʏ t
skytte	² ɧ ʏ t ɛ
skytten	¹ ɧ ʏ t ɛ n
skytten	² ɧ ʏ t ɛ n
skytten	² ɧ ʏ t ɛ n
skägg	ɧ ɛ ɡː
skäggdopping	ˌɧ ɛ ɡ ˈd ɔ p ɪ ŋ
skäggdopping	/ e n . w i k t i o n a r y . o r g
skäggmes	ɧ ɛ ɡ ˈm eː s
skäggtärna	ˌɧ ɛ ɡ ˈt ɜ r n a
skäl	ɧ ɛː l
skälig	² ɧ ɛː l ɪ ɡ
skälig	/ e n . w i k t i o n a r y . o r g
skämskudde	² ɧ ɛ m s ˌk ɵ d ɛ
skämt	ɧ ɛ m t
skänka	² ɧ ɛ ŋ k a
skänka	/ e n . w i k t i o n a r y . o r g
skär	ɧ æː r
skär	/ e n . w i k t i o n a r y . o r g
skära	ˈɧ æː ˌr a
skärfläcka	ˌɧ ɛː ɾ ˈf l ɛ k a
skärfläcka	/ e n . w i k t i o n a r y . o r g
skärp	ɧ ɛ r p
skärp	ʃ æ r p
skärp	ʃ æ r p
skärp	ʃ æ r p
skärpa	² ɧ æ r p a
skärpa	/ e n . w i k t i o n a r y . o r g
skärpa	/ e n . w i k t i o n a r y . o r g
skärsnäppa	ˌɧ ɛː r ˈs n ɛ p a
skärsnäppa	/ e n . w i k t i o n a r y . o r g
skåda	ˈs k oː ˌd a
sköld	ɧ œ l d
sköldpadda	ˈɧ œ l d ˌp a d a
skölja	ˈɧ œ lː ˌj a
skölja	/ e n . w i k t i o n a r y . o r g
skön	ɧ øː n
skön	/ e n . w i k t i o n a r y . o r g
skönhetssalong	ˈɧ øː n h eː t s ‿ s a ˈl ɔ ŋ
skörbjugg	² ɧ œː r b j ɵ ɡ
sköt	ˈɧ øː t
sköts	ɧ øː t s
slagsmål	ˈs l a k s m oː l
slaguggla	s l ɑː ɡ ˈɵ ɡ l a
slangens	ˈs l a ŋ e n s
sleva	² s l eː v a
slitvarg	² s l iː t ˌv a r j
slockna	/ e n . w i k t i o n a r y . o r g
slog	s l uː ɡ
slogs	s l ʊ k s
slogs	s l uː ɡ s
slogs	s l uː k s
slogs	s l uː ɡ s
slogs	s l uː k s
slussa	² s l ɵ s a
slussa	/ e n . w i k t i o n a r y . o r g
slut	s l ʉː t
slut	/ e n . w i k t i o n a r y . o r g
sluten	¹ s l ʉː t ɛ n
sluten	² s l ʉː t ɛ n
sluten	² s l ʉː t ɛ n
slutrea	² s l ʉː t ˌr eː a
slutspurt	s l ʉː t s p ɵ r t
släkt	s l ɛ k t
slät	s l ɛː t
slå	s l oː
slån	s l oː n
slån	/ e n . w i k t i o n a r y . o r g
slö	s l øː
slö	/ e n . w i k t i o n a r y . o r g
slöjd	s l œ j d
slösa	² s l øː s a
slösa	/ e n . w i k t i o n a r y . o r g
slöseri	s l øː s ɛ ˈr iː
slöseri	/ e n . w i k t i o n a r y . o r g
smarrig	² s m a r ɪ ɡ
smaska	² s m a s k a
smaska	/ e n . w i k t i o n a r y . o r g
smaskig	² s m a s k ɪ ɡ
smed	s m eː d
smed	/ e n . w i k t i o n a r y . o r g
smet	s m eː t
smittkurva	² s m ɪ t ˌk ɵ r v a
smoking	ˈs m oː k ɪ ŋ
smoking	/ e n . w i k t i o n a r y . o r g
smulgubbe	² s m ʉ̟ː l ˌɡ ɵ b ɛ
smultron	ˈs m ɵ l ˌt r ɔ n
smultronställe	² s m ɵ l t r ɔ n ˌs t ɛ l ɛ
smurf	s m ɵ r f
smutsgam	s m ɵ t s ˈɡ ɑː m
smyg	s m yː ɡ
smyg	/ e n . w i k t i o n a r y . o r g
små	s m oː
små	/ e n . w i k t i o n a r y . o r g
små	/ e n . w i k t i o n a r y . o r g
små	/ e n . w i k t i o n a r y . o r g
små	/ e n . w i k t i o n a r y . o r g
små	/ e n . w i k t i o n a r y . o r g
små	/ e n . w i k t i o n a r y . o r g
småborgare	² s m oː ˌb ɔ r j a r e
småborgerlig	² s m oː ˌb ɔ r j ɛ r l ɪ ɡ
småborgerlighet	² s m oː b ɔ r j ɛ r l ɪ ɡ ˌh eː t
smådopping	ˌs m oː ˈd ɔ p ɪ ŋ
smådopping	/ e n . w i k t i o n a r y . o r g
småkusin	² s m oː k ɵ ˌs iː n
småkusin	ˈs m oː k ʉ ˌs iː n
småkusin	ˈs m oː k ʉ ˌs iː n
smålom	ˌs m oː ˈl ʊ m
småskrake	ˌs m oː ˈk ɾ ɑː k ɛ
småskrake	/ e n . w i k t i o n a r y . o r g
småskuren	² s m oː ˌs k ʉ̟ː r ɛ n
småsnäppa	ˌs m oː ˈs n ɛ p a
småsnäppa	/ e n . w i k t i o n a r y . o r g
småtrapp	ˌs m ɔ ˈt ɾ a p
småtrapp	/ e n . w i k t i o n a r y . o r g
småtärna	ˌs m oː ˈt ɜ r n a
smör	s m øː r
smörgås	ˈs m œ r ˌɡ oː s
smörgås	ˈs m œ r ˌɡ ɔ s
smörgåsbord	ˈs m œ r ɡ ɔ s ˌb uː r d
smörgåsbord	/ e n . w i k t i o n a r y . o r g
smörgåstårta	² s m œ r ɡ ɔ s ˌt oː r t a
smörja	/ e n . w i k t i o n a r y . o r g
smörja	/ e n . w i k t i o n a r y . o r g
smörja	/ e n . w i k t i o n a r y . o r g
snabb	s n a b
snabbt	s n a p t
snacka	² s n a kː a
snapsvisa	² s n a p s ˌv iː s a
snart	s n ɑː ʈ
snatterand	ˈs n a t ɛ ɾ ˌa n d
snatterand	/ e n . w i k t i o n a r y . o r g
sne	s n eː
snickare	ˈs n ɪ k ˌa r ɛ
snickeri	s n ɪ k ɛ ˈr iː
snickra	ˈs n ɪ k ˌr a
snida	ˈs n iː d a
sno	s n uː
snor	s n uː r
snor	s n uː r
snor	/ e n . w i k t i o n a r y . o r g
snor	/ e n . w i k t i o n a r y . o r g
snor	/ e n . w i k t i o n a r y . o r g
snor	/ e n . w i k t i o n a r y . o r g
snowboots	ˈs n oː b ɔ t s
snowboots	ˈs n ɔ b ɔ t s
snowboots	ˈs n ɔ uː b ɔ t s
snowboots	ˈs n o ʊ b uː t s
snudd	s n ɵ d
snudd	/ e n . w i k t i o n a r y . o r g
snus	s n ʉ̟ː s
snus	/ e n . w i k t i o n a r y . o r g
snusa	² s n ʉ̟ː s a
snusa	/ e n . w i k t i o n a r y . o r g
snusare	² s n ʉ̟ː s a r ɛ
snusig	² s n ʉ̟ː s ɪ ɡ
snuskhummer	² s n ɵ s k ˌh ɵ m ɛ r
snusmumrik	² s n ʉ̟ː s ˌm ɵ m r ɪ k
snut	s n ʉː t
snut	/ e n . w i k t i o n a r y . o r g
snutt	s n ɵ t
snutt	/ e n . w i k t i o n a r y . o r g
snygging	² s n ʏ ɡ ɪ ŋ
snylta	² s n ʏ l t a
snylta	/ e n . w i k t i o n a r y . o r g
snyltning	² s n ʏ l t n ɪ ŋ
snäll	s n ɛ lː
snälla	s n ɛ lː a
snäppa	ˌs n ɛ ˈp a
snål	s n oː l
snål	/ e n . w i k t i o n a r y . o r g
snåljåp	² s n oː l ˌj oː p
snålvarg	² s n oː l ˌv a r j
snö	s n øː
snö	/ e n . w i k t i o n a r y . o r g
snöa	² s n øː ˌa
snöga	² s n øː ɡ a
snöga	/ e n . w i k t i o n a r y . o r g
snön	s n œ nː
snön	/ e n . w i k t i o n a r y . o r g
so	s uː
so	s oː
so	s oː
so	s oː
so	s oː
so	s e c o n d
social	s o s i ˈɑː l
social	s o ˈɧ ɑː l
sockenmål	² s ʊ k ɛ n ˌm oː l
sockenmål	² s ɔ k ɛ n ˌm oː l
socker	/ e n . w i k t i o n a r y . o r g
soda	² s uː d a
Sofia	s ʊ ² f iː a
sol	s uː l
sol	ˈs o uː ɽ
sol	ˈs o uː ɽ
sol	ˈs o uː ɽ
sol	ˈs o uː ɽ ɐ
sol	ˈs o uː ɽ ɐ
sol	ˈs o uː ɳ
sol	ˈs o uː ɳ
sol	/ e n . w i k t i o n a r y . o r g
solk	ˈs ɔ l k
Solna	² s oː l n a
solsken	² s uː l ˌɧ eː n
solvarg	² s uː l ˌv a r j
som	s ɔ m
som	s o m ˧˩
som	s o m ˧˩
somaliames	s ɔ m ɑː l j a ˈm eː s
somaliames	/ e n . w i k t i o n a r y . o r g
sommar	ˈs ɔ ˌmː a r
sommaren	² s ɔ ˌm a r ɛ n
sommaren	² s ɔ ˌm a ɳ
sommaren	² s ɔ ˌm a ɳ
sommartid	s ɔ m a r ˈt iː d
somras	² s ɔ m r a s
somras	/ e n . w i k t i o n a r y . o r g
son	s oː n
son	θ oː n ˨˦
son	θ oː n ˨˦
son	θ oː n ˨˦
son	θ oː n ˨˦
son	θ oː n ˨˦
son	θ oː n ˨˦
son	θ oː n ˨˦
soppa	ˈs ɔ p ˌa
sorg	s ɔ r j
sorl	ˈs oː r ˌl
sortering	s ɔ r ˈt eː r ɪ ŋ
sortering	s ʊ r ˈt eː r ɪ ŋ
sortering	/ e n . w i k t i o n a r y . o r g
sosse	ˈs ʊ ˌs ɛ
sosse	ˈs ɔ ˌs ɛ
sossig	² s ʊ s ɪ ɡ
sossig	² s ɔ s ɪ ɡ
sot	s uː t
sothöna	ˌs uː t ˈh øː n a
sothöna	/ e n . w i k t i o n a r y . o r g
sotis	¹ s uː t ɪ s
sottärna	ˌs uː t ˈt ɜ r n a
sov	s oː v
sov	/ e n . w i k t i o n a r y . o r g
sova	² s oː v a
sovel	ˈs oː v ɛ l
sovel	/ e n . w i k t i o n a r y . o r g
sovjet	s ʊ v ¹ j eː t
sovjet	s ʊ v ¹ j ɛ t
sovjet	s ʊ v ¹ j ɛ t
sovjet	/ e n . w i k t i o n a r y . o r g
sovjet	/ e n . w i k t i o n a r y . o r g
sovjet	/ e n . w i k t i o n a r y . o r g
sovstad	s oː v ˌs t ɑː d
sovstad	s oː v ˌs t ɑː d
sovstad	s oː v ˌs t ɑː d
spanska	² s p a n s k a
spara	s p ɑː r a
sparvuggla	s p a r v ˈɵ ɡ l a
spasm	ˈs p a s m
spasm	/ e n . w i k t i o n a r y . o r g
spegel	ˈs p eː ˌɡ ɛ l
spegel	/ e n . w i k t i o n a r y . o r g
spel	s p eː l
spel	s p e l
spela	s p eː l a
spela	/ e n . w i k t i o n a r y . o r g
spela	/ e n . w i k t i o n a r y . o r g
spelar	s p eː l a r
spenat	s p ɛ n ˈɑː t
spenat	/ e n . w i k t i o n a r y . o r g
spenat	/ e n . w i k t i o n a r y . o r g
speta	² s p eː t a
speta	/ e n . w i k t i o n a r y . o r g
speta	/ e n . w i k t i o n a r y . o r g
spetsbergsgrissla	ˌs p ɛ t s b ɛ r j s ˈɡ r ɪ s l a
spetsbergsgås	ˌs p ɛ t s b ɛ ɾ j s ˈɡ oː s
spetsbergsgås	/ e n . w i k t i o n a r y . o r g
spettekaka	² s p ɛ t ɛ ˌk ɑː k a
spetälska	ˈs p eː t ˌæ l s k a
spik	s p iː k
spik	/ e n . w i k t i o n a r y . o r g
spis	s p iː s
spisa	² s p iː s a
spisa	/ e n . w i k t i o n a r y . o r g
spjut	ˈs p j ʉː t
spjut	/ e n . w i k t i o n a r y . o r g
spjut	/ e n . w i k t i o n a r y . o r g
sport	ˈs p ɔ ʈ
sport	ˈs p ʊ ʈ
sport	s p ɔ r t
sport	ˈs p ʊ ʈ
sport	s p ɔ r t
spov	s p uː v
spov	/ e n . w i k t i o n a r y . o r g
spovsnäppa	s p ʊː v ˈs n ɛ p a
spovsnäppa	/ e n . w i k t i o n a r y . o r g
sprida	ˈs p r iː ˌd a
sprit	s p r iː t
spruta	² s p r ʉː t a
spruta	/ e n . w i k t i o n a r y . o r g
språk	s p r oː k
spurt	s p ɵ r t
spy	s p yː
spänna	s p ɛ nː a
spärrnät	/ e n . w i k t i o n a r y . o r g
spå	s p oː
spå	/ e n . w i k t i o n a r y . o r g
spåga	² s p oː ɡ a
spåga	/ e n . w i k t i o n a r y . o r g
spår	s p oː r
spö	s p øː
spö	/ e n . w i k t i o n a r y . o r g
spöke	² s p øː k ɛ
spökförare	/ e n . w i k t i o n a r y . o r g
spöregn	ˈs p ø̀ː ˌr ɛ ŋ n
spörja	/ e n . w i k t i o n a r y . o r g
stab	s t ɑː b
stad	s t ɑː d
stad	s t a t s
stad	s t a t s
stadig	s t ɑː ˈd ɪ ɡ
stadsbo	² s t a t s ˌb uː
stagflation	s t a ɡ f l a ˈɧ uː n
stal	s t ɑː l
stamområde	² s t a m ɔ m ˌr oː d ɛ
stat	s t ɑː t
station	s t a ˈɧ uː n
station	s t a ˈt͡ʃ uː n
station	s t a ˈt͡ʃ uː n
stationär	s t a t ɧ ʊ ˈn æː r
stationär	/ e n . w i k t i o n a r y . o r g
statlig	s t ɑː t l ɪ ɡ
stav	s t ɑː v
stav	s t æː ʋ
stav	/ e n . w i k t i o n a r y . o r g
stava	ˈs t ɑː . v a
stavelse	/ e n . w i k t i o n a r y . o r g
stege	ˈs t eː ˌɡ ɛ
stel	s t eː l
stel	/ e n . w i k t i o n a r y . o r g
sten	s t eː n
stenfalk	s t eː n ˈf a l k
stenfalk	/ e n . w i k t i o n a r y . o r g
stensvala	s t eː n ˈs v ɑː l a
stickelbär	² s t ɪ k ɛ l ˌb ɛː r
stig	s t iː ɡ
stig	/ e n . w i k t i o n a r y . o r g
Stig	s t iː ɡ
Stig	/ e n . w i k t i o n a r y . o r g
stillhet	s t ɪ l ˈh eː t
stjäl	ɧ ɛː l
